year_month,total_occurrences
2018-01-01,7
2018-02-01,14
2018-03-01,10
2018-04-01,14
2018-05-01,11
2018-06-01,13
2018-07-01,10
2018-08-01,17
2018-09-01,8
2018-10-01,16
2018-11-01,10
2018-12-01,3
2019-01-01,7
2019-02-01,6
2019-03-01,10
2019-04-01,9
2019-05-01,16
2019-06-01,18
2019-07-01,17
2019-08-01,17
2019-09-01,17
2019-10-01,5
2019-11-01,9
2019-12-01,4
2020-01-01,15
2020-02-01,9
2020-03-01,7
2020-04-01,13
2020-05-01,20
2020-06-01,25
2020-07-01,20
2020-08-01,23
2020-09-01,23
2020-10-01,24
2020-11-01,17
2020-12-01,14
2021-01-01,14
2021-02-01,15
2021-03-01,37
2021-04-01,20
2021-05-01,26
2021-06-01,31
2021-07-01,21
2021-08-01,13
2021-09-01,29
2021-10-01,26
2021-11-01,18
2021-12-01,11
2022-01-01,17
2022-02-01,23
2022-03-01,30
2022-04-01,19
2022-05-01,23
2022-06-01,25
2022-07-01,16
2022-08-01,13
2022-09-01,21
2022-10-01,22
2022-11-01,18
2022-12-01,19
2023-01-01,16
2023-02-01,19
2023-03-01,25
2023-04-01,37
2023-05-01,28
2023-06-01,44
2023-07-01,29
2023-08-01,19
2023-09-01,34
2023-10-01,42
2023-11-01,44
2023-12-01,28
